competition_id,competition_name,league,season_id,season_name,season,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537051,2024-03-15T16:30:00+00:00,sr:competitor:4161,SC Classic Tampere,sr:competitor:4158,Happee Jyvaskyla,4,3
sr:competition:306,F-Liiga,finland,sr:season:108077,F-Liiga 23/24,F-Liiga 23/24,sr:sport_event:48537063,2024-03-15T16:30:00+00:00,sr:competitor:65930,Westend Indians,sr:competitor:7984,TPS Turku,3,2
sr:competition:829,Extraliga,czech,sr:season:108081,Extraliga 23/24,Extraliga 23/24,sr:sport_event:48466967,2024-03-16T14:30:00+00:00,sr:competitor:44604,Sparta Prague,sr:competitor:44614,Florbal Chodov,6,9
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623673,2024-03-16T15:00:00+00:00,sr:competitor:118114,FBC Kalmarsund,sr:competitor:4150,Karlstad IBF,7,5
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623683,2024-03-16T15:00:00+00:00,sr:competitor:4143,Jonkopings IK,sr:competitor:4144,Storvreta IBK,4,3
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623681,2024-03-16T15:00:00+00:00,sr:competitor:41254,Linkoping IBK,sr:competitor:118116,Thorengruppen SK,6,5
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623679,2024-03-16T15:00:00+00:00,sr:competitor:375152,Hagunda IF,sr:competitor:610450,Nykvarns IBF Ungdom,4,5
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623677,2024-03-16T15:00:00+00:00,sr:competitor:24122,Mullsjo AIS,sr:competitor:5744,FC Helsingborg,9,8
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623675,2024-03-16T15:00:00+00:00,sr:competitor:4138,Pixbo Wallenstam,sr:competitor:4142,AIK Innebandy,12,3
sr:competition:255,Svenska Superligan,czech,sr:season:108389,Svenska Superligan 23/24,Svenska Superligan 23/24,sr:sport_event:47623671,2024-03-16T15:00:00+00:00,sr:competitor:5745,IBF Falun,sr:competitor:34558,Vaxjo IBK,5,8
