competition_id,competition_name,league,season_id,season_name,season,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_result,target_home_win,home_score_final,away_score_final,season_norm,roster_prev_season,home_roster_strength,away_roster_strength,roster_strength_diff
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654914,2025-12-27T14:00:00+00:00,sr:competitor:322573,Nurmon Jymy,sr:competitor:4165,OLS Oulu,10,6,-4,9,30,-21,16,17,-45,7,-52,1.2,2.4,-1.2,4.8,6.0,6.2,5.4,1.2,1.2,home_win,1,3,2,2025-2026,2024-2025,147.11635971786836,118.9702106974372,28.146149020431167
sr:competition:255,Svenska Superligan,sweden,sr:season:132464,Svenska Superligan 25/26,Svenska Superligan 25/26,sr:sport_event:61936978,2025-12-27T14:00:00+00:00,sr:competitor:4146,Warberg IC,sr:competitor:5745,IBF Falun,9,3,-6,21,27,-6,13,13,-6,22,-28,1.8,1.8,0.0,5.2,5.6,5.4,4.2,2.4,1.2,away_win,0,3,10,2025-2026,2024-2025,81.66068227424748,181.90934065934067,-100.2486583850932
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654916,2025-12-27T14:00:00+00:00,sr:competitor:1000507,Hawks Helsinki,sr:competitor:4159,Oilers Espoo,10,1,-9,12,51,-39,18,19,-44,84,-128,0.6,3.0,-2.4,1.8,4.0,8.2,4.2,1.2,2.4,away_win,0,3,13,2025-2026,2024-2025,,210.43223388305847,
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654918,2025-12-27T15:00:00+00:00,sr:competitor:25241,Nokian KRP,sr:competitor:282983,LASB Lahti,5,12,7,36,3,33,16,17,49,-58,107,3.0,0.6,2.4,7.4,2.8,4.2,5.8,2.4,0.0,home_win,1,8,2,2025-2026,2024-2025,216.08221774193547,103.57591669315111,112.50630104878435
sr:competition:255,Svenska Superligan,sweden,sr:season:132464,Svenska Superligan 25/26,Svenska Superligan 25/26,sr:sport_event:61936980,2025-12-27T15:00:00+00:00,sr:competitor:118114,FBC Kalmarsund,sr:competitor:4138,Pixbo Wallenstam,8,5,-3,21,24,-3,13,13,8,6,2,1.2,1.8,-0.6000000000000001,5.4,6.4,3.4,4.4,2.4,2.4,away_win,0,5,6,2025-2026,2024-2025,134.61524475524476,174.95767832167832,-40.342433566433556
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654920,2025-12-27T15:30:00+00:00,sr:competitor:4161,SC Classic Tampere,sr:competitor:6584,SPV,4,2,-2,42,45,-3,18,18,72,51,21,1.8,2.4,-0.5999999999999999,8.2,4.0,7.6,4.0,2.4,2.4,home_win,1,9,7,2025-2026,2024-2025,198.01194805194805,170.5633116883117,27.448636363636354
sr:competition:255,Svenska Superligan,sweden,sr:season:132464,Svenska Superligan 25/26,Svenska Superligan 25/26,sr:sport_event:61936982,2025-12-27T16:00:00+00:00,sr:competitor:4143,Jonkopings IK,sr:competitor:41254,Linkoping IBK,12,3,-9,12,30,-18,13,13,-14,17,-31,0.6,2.4,-1.7999999999999998,4.6,5.8,5.6,3.8,1.8,3.0,away_win,0,2,8,2025-2026,2024-2025,142.92123076923076,136.00192307692305,6.9193076923077115
sr:competition:255,Svenska Superligan,sweden,sr:season:132464,Svenska Superligan 25/26,Svenska Superligan 25/26,sr:sport_event:61936984,2025-12-27T16:00:00+00:00,sr:competitor:223262,Visby IBK,sr:competitor:610450,Nykvarns IBF Ungdom,10,6,-4,18,24,-6,13,13,-13,1,-14,1.2,1.8,-0.6000000000000001,6.2,7.8,6.0,4.6,2.4,0.75,home_win,1,9,7,2025-2026,2024-2025,,104.62692307692308,
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654922,2025-12-28T13:00:00+00:00,sr:competitor:282983,LASB Lahti,sr:competitor:322573,Nurmon Jymy,12,9,-3,3,12,-9,18,17,-64,-44,-20,0.6,1.2,-0.6,4.4,6.8,3.6,6.0,0.6,0.6,home_win,1,5,4,2025-2026,2024-2025,103.57591669315111,147.11635971786836,-43.54044302471725
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654924,2025-12-28T14:00:00+00:00,sr:competitor:6584,SPV,sr:competitor:25241,Nokian KRP,3,5,2,45,39,6,19,17,49,55,-6,1.8,3.0,-1.2,7.4,5.0,6.2,2.8,2.4,3.0,home_win,1,9,2,2025-2026,2024-2025,170.5633116883117,216.08221774193547,-45.518906053623766
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225789,2025-12-28T14:00:00+00:00,sr:competitor:44609,Florbal Mlada Boleslav,sr:competitor:44607,FBC Liberec,2,10,8,39,15,24,13,15,114,-21,135,3.0,1.2,1.8,11.2,2.6,5.6,5.8,3.0,0.0,home_win,1,21,5,2025-2026,2024-2025,225.45104895104896,187.92125506072875,37.52979389032021
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225791,2025-12-28T14:00:00+00:00,sr:competitor:331853,FBC Ceska Lipa,sr:competitor:44606,FBC Kladno,11,9,-2,15,18,-3,14,14,-41,-35,-6,0.6,1.2,-0.6,5.6,9.6,5.2,6.8,1.8,0.6,home_win,1,6,5,2025-2026,2024-2025,142.605,102.56923076923076,40.03576923076923
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225793,2025-12-28T15:00:00+00:00,sr:competitor:44614,Florbal Chodov,sr:competitor:44604,Sparta Prague,7,4,-3,21,27,-6,13,14,12,12,0,2.4,2.4,0.0,6.4,5.4,5.8,4.0,2.4,2.4,home_win,1,8,6,2025-2026,2024-2025,148.40608695652173,141.18045576162967,7.22563119489206
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225797,2025-12-28T16:00:00+00:00,sr:competitor:173258,Sokol Kral Vinohrady,sr:competitor:37852,1. SC Vitkovice Ostrava,12,5,-7,9,27,-18,14,14,-38,8,-46,1.2,1.8,-0.6000000000000001,5.0,6.4,5.6,5.2,0.6,0.6,home_win,1,4,3,2025-2026,2024-2025,82.48261538461537,138.41794871794872,-55.93533333333335
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225795,2025-12-28T17:00:00+00:00,sr:competitor:68632,Hattrick Brno,sr:competitor:44610,FbS Bohemians Prague,14,2,-12,6,42,-36,14,15,-67,93,-160,0.6,3.0,-2.4,5.6,7.2,13.6,5.0,0.0,2.4,away_win,0,1,18,2025-2026,2024-2025,,233.35903010033445,
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225809,2025-12-30T12:00:00+00:00,sr:competitor:44604,Sparta Prague,sr:competitor:373344,Usti Nad Labem,4,13,9,27,6,21,15,15,10,-64,74,2.4,0.0,2.4,6.4,4.2,4.0,9.2,2.4,0.0,home_win,1,15,4,2025-2026,2024-2025,141.18045576162967,,
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225805,2025-12-30T14:00:00+00:00,sr:competitor:37852,1. SC Vitkovice Ostrava,sr:competitor:44611,Sokoli Pardubice,5,8,3,27,18,9,15,15,7,3,4,1.2,0.6,0.6,4.6,5.2,3.6,5.0,2.4,0.6,home_win,1,6,4,2025-2026,2024-2025,138.41794871794872,80.18403857469761,58.23391014325111
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225811,2025-12-30T17:00:00+00:00,sr:competitor:331853,FBC Ceska Lipa,sr:competitor:173258,Sokol Kral Vinohrady,10,12,2,18,12,6,15,15,-40,-37,-3,1.2,1.2,0.0,6.0,9.6,4.4,5.8,1.8,0.6,home_win,1,4,1,2025-2026,2024-2025,142.605,82.48261538461537,60.12238461538462
sr:competition:829,Extraliga,czech,sr:season:131605,Extraliga 25/26,Extraliga 25/26,sr:sport_event:61225813,2025-12-30T17:00:00+00:00,sr:competitor:68632,Hattrick Brno,sr:competitor:44609,Florbal Mlada Boleslav,14,2,-12,6,42,-36,15,14,-84,130,-214,0.6,3.0,-2.4,4.2,8.8,13.8,3.6,0.0,3.0,away_win,0,6,12,2025-2026,2024-2025,,225.45104895104896,
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654926,2026-01-02T16:30:00+00:00,sr:competitor:940309,FBC Turku,sr:competitor:7984,TPS Turku,12,8,-4,6,21,-15,19,18,-96,-42,-54,0.0,1.2,-1.2,3.2,7.4,4.2,7.6,0.0,1.2,away_win,0,4,5,2025-2026,2024-2025,130.11308929113156,128.13636363636363,1.9767256547679324
sr:competition:255,Svenska Superligan,sweden,sr:season:132464,Svenska Superligan 25/26,Svenska Superligan 25/26,sr:sport_event:61936986,2026-01-03T11:30:00+00:00,sr:competitor:940345,Hovslatts IK,sr:competitor:223262,Visby IBK,14,9,-5,3,21,-18,14,14,-46,-11,-35,0.6,1.2,-0.6,6.6,8.4,6.8,8.4,0.6,0.6,away_win,0,4,8,2025-2026,2024-2025,,,
sr:competition:306,F-Liiga,finland,sr:season:132108,F-Liiga 25/26,F-Liiga 25/26,sr:sport_event:61654928,2026-01-03T14:00:00+00:00,sr:competitor:1000507,Hawks Helsinki,sr:competitor:224502,EraViikingit,10,7,-3,12,24,-12,19,19,-54,-16,-38,0.6,1.2,-0.6,2.2,5.6,4.6,5.6,0.6,1.8,away_win,0,4,5,2025-2026,2024-2025,,114.48352272727271,
sr:competition:255,Svenska Superligan,sweden,sr:season:132464,Svenska Superligan 25/26,Svenska Superligan 25/26,sr:sport_event:61936988,2026-01-03T14:00:00+00:00,sr:competitor:4142,AIK Innebandy,sr:competitor:4143,Jonkopings IK,13,12,-1,6,12,-6,14,14,-29,-20,-9,0.6,0.6,0.0,4.6,6.0,4.2,6.4,0.6,0.0,away_win,0,4,8,2025-2026,2024-2025,94.696529340225,142.92123076923076,-48.22470142900576
sr:competition:255,Svenska Superligan,sweden,sr:season:132464,Svenska Superligan 25/26,Svenska Superligan 25/26,sr:sport_event:61936990,2026-01-03T15:00:00+00:00,sr:competitor:4144,Storvreta IBK,sr:competitor:610450,Nykvarns IBF Ungdom,1,6,5,36,24,12,14,14,44,-1,45,2.4,1.2,1.2,5.2,2.6,5.4,5.6,3.0,0.6,home_win,1,11,3,2025-2026,2024-2025,167.0893684210526,104.62692307692308,62.46244534412952
