source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Josef Terla,4,0,0,0,3.0,,-2.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Martin Tvrdek,3,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Karel Urban,2,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,FB Hurrican Karlovy Vary,Michal Zeman,11,0,0,0,5.0,,-7.0
extraliga,czech,2023-2024,FBC Liberec,Vojtěch Wiener,26,26,31,57,84.0,,-10.0
extraliga,czech,2023-2024,FBC Liberec,Jakub Faksa,24,25,17,42,82.0,,1.0
extraliga,czech,2023-2024,FBC Liberec,Jakub Kopecký,26,25,17,42,105.0,,-4.0
extraliga,czech,2023-2024,FBC Liberec,Filip Smutný,25,17,23,40,68.0,,-1.0
extraliga,czech,2023-2024,FBC Liberec,Prokop Ferdan,26,19,17,36,58.0,,4.0
extraliga,czech,2023-2024,FBC Liberec,Jakub Mádlo,24,10,6,16,37.0,,-5.0
extraliga,czech,2023-2024,FBC Liberec,Vojtěch Janeček,23,7,9,16,41.0,,4.0
extraliga,czech,2023-2024,FBC Liberec,Patrik Rozkovec,26,11,4,15,33.0,,-9.0
extraliga,czech,2023-2024,FBC Liberec,Marek Korych,24,9,6,15,45.0,,2.0
extraliga,czech,2023-2024,FBC Liberec,Lukáš Dolejš,24,8,5,13,29.0,,-10.0
extraliga,czech,2023-2024,FBC Liberec,Matyáš Velc,16,6,7,13,30.0,,-9.0
extraliga,czech,2023-2024,FBC Liberec,Filip Kučera,25,5,7,12,19.0,,-8.0
extraliga,czech,2023-2024,FBC Liberec,Jan Šoltys,25,5,2,7,20.0,,-7.0
extraliga,czech,2023-2024,FBC Liberec,Michal Fišera,26,0,5,5,7.0,,-1.0
extraliga,czech,2023-2024,FBC Liberec,Radek Valeš,9,1,2,3,14.0,,-6.0
extraliga,czech,2023-2024,FBC Liberec,Jakub Pařízek,10,2,0,2,4.0,,-7.0
extraliga,czech,2023-2024,FBC Liberec,Jakub Kárník,25,1,1,2,12.0,,-5.0
extraliga,czech,2023-2024,FBC Liberec,Lukáš Macháč,21,1,1,2,13.0,,-6.0
extraliga,czech,2023-2024,FBC Liberec,Bartoloměj Smolka,9,1,1,2,4.0,,1.0
extraliga,czech,2023-2024,FBC Liberec,Adam Stýblo,5,1,1,2,2.0,,1.0
extraliga,czech,2023-2024,FBC Liberec,Jan Bitman,22,0,0,0,3.0,,-5.0
extraliga,czech,2023-2024,FBC Liberec,Oliver Bäcksbacka,2,0,0,0,1.0,,-3.0
extraliga,czech,2023-2024,FBC Liberec,Ondřej Cejnar,1,0,0,0,0.0,,0.0
extraliga,czech,2023-2024,FBC Liberec,Tomáš Čermák,4,0,0,0,0.0,,0.0
