competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,season_norm,roster_prev_season,home_roster_strength,away_roster_strength,roster_strength_diff,target_home_win
sr:competition:255,sweden,Svenska Superligan 23/24,14,5,-9,0,3,-3,1,1,-7,5,-12,0.0,3.0,-3.0,5.0,12.0,8.0,3.0,0.0,0.0,2023-2024,2022-2023,123.08384615384615,,,1
sr:competition:829,czech,Extraliga 23/24,7,3,-4,3,6,-3,2,2,2,14,-12,1.5,3.0,-1.5,8.5,7.5,9.0,2.0,0.0,3.0,2023-2024,2022-2023,139.26107692307693,197.77530769230768,-58.51423076923075,0
sr:competition:829,czech,Extraliga 23/24,4,13,9,6,0,6,2,2,6,-11,17,3.0,0.0,3.0,9.0,6.0,3.5,9.0,3.0,0.0,2023-2024,2022-2023,197.8203076923077,,,0
sr:competition:306,finland,F-Liiga 23/24,10,3,-7,0,6,-6,2,2,-5,8,-13,0.0,3.0,-3.0,4.0,6.5,7.5,3.5,0.0,3.0,2023-2024,2022-2023,110.4778432601881,125.07296851574212,-14.595125255554024,1
sr:competition:255,sweden,Svenska Superligan 23/24,13,8,-5,0,3,-3,1,1,-5,1,-6,0.0,3.0,-3.0,3.0,8.0,6.0,5.0,0.0,0.0,2023-2024,2022-2023,161.6590769230769,170.55676588628762,-8.897688963210726,0
sr:competition:306,finland,F-Liiga 23/24,11,2,-9,0,6,-6,2,3,-8,10,-18,0.0,2.0,-2.0,3.0,7.0,9.333333333333334,6.0,0.0,3.0,2023-2024,2022-2023,64.15576298701298,169.30794721407625,-105.15218422706327,0
sr:competition:829,czech,Extraliga 23/24,14,12,-2,0,3,-3,3,3,-18,-10,-8,0.0,1.0,-1.0,5.0,11.0,4.666666666666667,8.0,0.0,1.5,2023-2024,2022-2023,140.3943110367893,108.59916746411484,31.795143572674462,1
sr:competition:829,czech,Extraliga 23/24,8,6,-2,3,6,-3,2,3,0,0,0,1.5,2.0,-0.5,4.0,4.0,7.333333333333333,7.333333333333333,0.0,0.0,2023-2024,2022-2023,,129.17692307692306,,0
sr:competition:829,czech,Extraliga 23/24,4,14,10,6,0,6,2,3,24,-7,31,3.0,0.0,3.0,15.0,3.0,6.333333333333333,8.666666666666666,3.0,0.0,2023-2024,2022-2023,165.27208695652172,84.13671328671327,81.13537366980844,1
sr:competition:829,czech,Extraliga 23/24,10,11,1,3,3,0,3,3,-9,-10,1,1.0,1.0,0.0,4.333333333333333,7.333333333333333,4.666666666666667,8.0,0.0,1.5,2023-2024,2022-2023,107.96294792164358,,,1
sr:competition:829,czech,Extraliga 23/24,2,3,1,9,9,0,3,3,16,13,3,3.0,3.0,0.0,8.0,2.6666666666666665,10.333333333333334,6.0,3.0,3.0,2023-2024,2022-2023,197.77530769230768,172.93434065934065,24.84096703296703,0
sr:competition:829,czech,Extraliga 23/24,6,8,2,6,3,3,3,3,2,0,2,2.0,1.0,1.0,5.0,4.333333333333333,7.0,7.0,3.0,3.0,2023-2024,2022-2023,134.34259149546105,139.26107692307693,-4.918485427615877,1
sr:competition:829,czech,Extraliga 23/24,6,10,4,6,3,3,3,3,5,-6,11,2.0,1.0,1.0,8.0,6.333333333333333,3.0,5.0,1.5,0.0,2023-2024,2022-2023,197.8203076923077,148.42176923076923,49.398538461538465,0
sr:competition:306,finland,F-Liiga 23/24,12,5,-7,0,6,-6,3,3,-11,-3,-8,0.0,2.0,-2.0,3.6666666666666665,7.333333333333333,5.0,6.0,0.0,3.0,2023-2024,2022-2023,34.95909090909091,123.75691699604742,-88.79782608695652,0
sr:competition:306,finland,F-Liiga 23/24,5,7,2,6,3,3,2,3,7,0,7,3.0,1.0,2.0,7.0,3.5,6.333333333333333,6.333333333333333,3.0,0.0,2023-2024,2022-2023,112.17115102639296,121.15511363636362,-8.98396260997066,1
sr:competition:306,finland,F-Liiga 23/24,7,9,2,3,3,0,3,3,0,-4,4,1.0,1.0,0.0,5.666666666666667,5.666666666666667,4.333333333333333,5.666666666666667,1.5,0.0,2023-2024,2022-2023,157.5568831168831,110.4778432601881,47.07903985669502,1
sr:competition:306,finland,F-Liiga 23/24,2,5,3,9,6,3,3,3,11,7,4,3.0,2.0,1.0,9.333333333333334,5.666666666666667,6.333333333333333,4.0,3.0,1.5,2023-2024,2022-2023,38.00846394984326,125.07296851574212,-87.06450456589886,0
sr:competition:255,sweden,Svenska Superligan 23/24,10,12,2,3,0,3,2,2,-6,-5,-1,1.5,0.0,1.5,6.5,9.5,6.0,8.5,3.0,0.0,2023-2024,2022-2023,123.08384615384615,137.90596655518394,-14.822120401337784,0
sr:competition:255,sweden,Svenska Superligan 23/24,12,8,-4,0,3,-3,2,2,-4,1,-5,0.0,1.5,-1.5,4.5,6.5,6.5,6.0,0.0,0.0,2023-2024,2022-2023,137.75830769230768,141.41000000000005,-3.6516923076923717,1
sr:competition:306,finland,F-Liiga 23/24,12,3,-9,0,9,-9,4,4,-17,8,-25,0.0,2.25,-2.25,4.0,8.25,6.25,4.25,0.0,2.0,2023-2024,2022-2023,34.95909090909091,125.07296851574212,-90.11387760665122,0
sr:competition:255,sweden,Svenska Superligan 23/24,9,5,-4,3,3,0,2,2,0,5,-5,1.5,1.5,0.0,8.0,8.0,9.0,6.5,3.0,0.0,2023-2024,2022-2023,136.64397993311036,138.14572352285396,-1.5017435897435973,1
sr:competition:306,finland,F-Liiga 23/24,9,10,1,3,3,0,4,3,-5,-10,5,0.75,1.0,-0.25,4.25,5.5,4.666666666666667,8.0,1.5,1.5,2023-2024,2022-2023,110.4778432601881,109.79741935483872,0.6804239053493717,1
sr:competition:306,finland,F-Liiga 23/24,7,2,-5,3,9,-6,1,4,1,12,-11,3.0,2.25,0.75,5.0,4.0,8.25,5.25,0.0,3.0,2023-2024,2022-2023,81.62211990595611,169.30794721407625,-87.68582730812014,1
sr:competition:829,czech,Extraliga 23/24,1,4,3,12,9,3,4,4,14,3,11,3.0,2.25,0.75,9.5,6.0,5.25,4.5,3.0,1.5,2023-2024,2022-2023,172.93434065934065,134.34259149546105,38.5917491638796,1
sr:competition:829,czech,Extraliga 23/24,6,8,2,6,6,0,4,4,0,-8,8,1.5,1.5,0.0,4.75,4.75,4.25,6.25,1.5,1.5,2023-2024,2022-2023,148.42176923076923,107.96294792164358,40.45882130912565,0
sr:competition:255,sweden,Svenska Superligan 23/24,6,7,1,3,3,0,2,2,4,2,2,1.5,1.5,0.0,7.5,5.5,6.0,5.0,3.0,3.0,2023-2024,2022-2023,,168.7760859140859,,0
sr:competition:306,finland,F-Liiga 23/24,9,7,-2,3,6,-3,4,4,-1,1,-2,0.75,1.5,-0.75,5.5,5.75,5.5,5.25,3.0,0.0,2023-2024,2022-2023,121.15511363636362,157.5568831168831,-36.40176948051949,0
sr:competition:306,finland,F-Liiga 23/24,11,10,-1,0,3,-3,3,4,-10,-14,4,0.0,0.75,-0.75,3.0,6.333333333333333,4.25,7.75,0.0,1.0,2023-2024,2022-2023,64.15576298701298,109.79741935483872,-45.641656367825746,1
sr:competition:255,sweden,Svenska Superligan 23/24,6,4,-2,6,6,0,2,2,3,5,-2,3.0,3.0,0.0,6.0,4.5,5.5,3.0,3.0,3.0,2023-2024,2022-2023,192.0868260869565,155.30446153846154,36.78236454849497,1
sr:competition:255,sweden,Svenska Superligan 23/24,13,3,-10,0,6,-6,2,2,-7,6,-13,0.0,3.0,-3.0,3.0,6.5,7.5,4.5,0.0,3.0,2023-2024,2022-2023,,170.55676588628762,,1
sr:competition:829,czech,Extraliga 23/24,13,3,-10,3,9,-6,4,4,-15,15,-30,0.75,2.25,-1.5,4.25,8.0,7.5,3.75,0.0,3.0,2023-2024,2022-2023,108.59916746411484,197.77530769230768,-89.17614022819284,0
sr:competition:829,czech,Extraliga 23/24,14,4,-10,0,9,-9,4,4,-15,2,-17,0.0,2.25,-2.25,5.75,9.5,8.0,7.5,0.0,1.5,2023-2024,2022-2023,84.13671328671327,129.17692307692306,-45.040209790209786,0
sr:competition:829,czech,Extraliga 23/24,10,12,2,3,3,0,3,4,-2,-13,11,1.0,0.75,0.25,5.333333333333333,6.0,5.75,9.0,0.0,0.0,2023-2024,2022-2023,,140.3943110367893,,1
