competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_home_win
sr:competition:306,finland,F-Liiga 23/24,7,2,-5,3,9,-6,1,4,1,12,-11,3.0,2.25,0.75,5.0,4.0,8.25,5.25,0.0,3.0,1
sr:competition:829,czech,Extraliga 23/24,1,4,3,12,9,3,4,4,14,3,11,3.0,2.25,0.75,9.5,6.0,5.25,4.5,3.0,1.5,1
sr:competition:829,czech,Extraliga 23/24,6,8,2,6,6,0,4,4,0,-8,8,1.5,1.5,0.0,4.75,4.75,4.25,6.25,1.5,1.5,0
sr:competition:255,czech,Svenska Superligan 23/24,6,7,1,3,3,0,2,2,4,2,2,1.5,1.5,0.0,7.5,5.5,6.0,5.0,3.0,3.0,0
sr:competition:306,finland,F-Liiga 23/24,9,7,-2,3,6,-3,4,4,-1,1,-2,0.75,1.5,-0.75,5.5,5.75,5.5,5.25,3.0,0.0,0
sr:competition:306,finland,F-Liiga 23/24,11,10,-1,0,3,-3,3,4,-10,-14,4,0.0,0.75,-0.75,3.0,6.333333333333333,4.25,7.75,0.0,1.0,1
sr:competition:255,czech,Svenska Superligan 23/24,6,4,-2,6,6,0,2,2,3,5,-2,3.0,3.0,0.0,6.0,4.5,5.5,3.0,3.0,3.0,1
sr:competition:255,czech,Svenska Superligan 23/24,13,3,-10,0,6,-6,2,2,-7,6,-13,0.0,3.0,-3.0,3.0,6.5,7.5,4.5,0.0,3.0,1
sr:competition:829,czech,Extraliga 23/24,13,3,-10,3,9,-6,4,4,-15,15,-30,0.75,2.25,-1.5,4.25,8.0,7.5,3.75,0.0,3.0,0
sr:competition:829,czech,Extraliga 23/24,14,4,-10,0,9,-9,4,4,-15,2,-17,0.0,2.25,-2.25,5.75,9.5,8.0,7.5,0.0,1.5,0
sr:competition:829,czech,Extraliga 23/24,10,12,2,3,3,0,3,4,-2,-13,11,1.0,0.75,0.25,5.333333333333333,6.0,5.75,9.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,11,4,-7,3,9,-6,4,3,-11,32,-43,0.75,3.0,-2.25,4.25,7.0,14.0,3.3333333333333335,0.0,0.0,0
sr:competition:306,finland,F-Liiga 23/24,6,3,-3,9,9,0,4,4,3,10,-7,2.25,2.25,0.0,6.5,5.75,8.25,5.75,1.5,3.0,1
sr:competition:255,czech,Svenska Superligan 23/24,14,3,-11,0,6,-6,2,2,-10,6,-16,0.0,3.0,-3.0,3.5,8.5,6.0,3.0,0.0,3.0,0
sr:competition:829,czech,Extraliga 23/24,10,8,-2,3,6,-3,4,4,-1,-1,0,0.75,1.5,-0.75,6.5,6.75,7.0,7.25,0.0,3.0,1
sr:competition:255,czech,Svenska Superligan 23/24,7,14,7,3,0,3,3,3,1,-17,18,1.0,0.0,1.0,8.0,7.666666666666667,2.6666666666666665,8.333333333333334,3.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,7,2,-5,6,12,-6,4,4,11,42,-31,1.5,3.0,-1.5,7.5,4.75,14.25,3.75,1.0,3.0,0
sr:competition:306,finland,F-Liiga 23/24,7,2,-5,6,12,-6,2,5,2,5,-3,3.0,2.4,0.6000000000000001,5.5,4.5,6.2,5.2,3.0,3.0,0
