competition_id,league,season,home_rank,away_rank,rank_diff,home_table_points,away_table_points,table_points_diff,home_played,away_played,home_goal_diff,away_goal_diff,goal_diff_diff,home_form_last5,away_form_last5,form_diff_last5,home_goals_for_avg_last5,home_goals_against_avg_last5,away_goals_for_avg_last5,away_goals_against_avg_last5,home_home_form_last5,away_away_form_last5,target_home_win
sr:competition:255,czech,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,5,12,7,3,0,3,1,1,1,-9,10,3.0,0.0,3.0,5.0,4.0,3.0,12.0,0.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,2,5,3,3,3,0,1,1,6,1,5,3.0,3.0,0.0,11.0,5.0,7.0,6.0,0.0,0.0,0
sr:competition:306,finland,F-Liiga 23/24,10,12,2,0,0,0,1,1,-3,-7,4,0.0,0.0,0.0,5.0,8.0,2.0,9.0,0.0,0.0,0
sr:competition:306,finland,F-Liiga 23/24,5,9,4,3,0,3,1,1,2,-1,3,3.0,0.0,3.0,5.0,3.0,4.0,5.0,3.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,10,7,-3,0,3,-3,1,1,-2,1,-3,0.0,3.0,-3.0,5.0,7.0,6.0,5.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,6,10,4,3,0,3,1,1,1,-1,2,3.0,0.0,3.0,4.0,3.0,4.0,5.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,8,14,6,3,0,3,2,2,-3,-15,12,1.5,0.0,1.5,7.0,8.5,5.0,12.5,3.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,4,8,4,3,0,3,2,1,3,-1,4,1.5,0.0,1.5,9.5,8.0,6.0,7.0,0.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,4,5,1,3,3,0,1,1,7,3,4,3.0,3.0,0.0,9.0,2.0,8.0,5.0,0.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,10,8,-2,0,0,0,2,1,-6,-2,-4,0.0,0.0,0.0,4.0,7.0,3.0,5.0,0.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,8,11,3,0,0,0,1,1,-1,-4,3,0.0,0.0,0.0,5.0,6.0,2.0,6.0,0.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,4,10,6,6,0,6,2,1,4,-6,10,3.0,0.0,3.0,9.0,7.0,5.0,11.0,3.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,8,5,-3,3,3,0,2,2,-5,2,-7,1.5,1.5,0.0,3.5,6.0,6.5,5.5,0.0,0.0,1
sr:competition:255,czech,Svenska Superligan 23/24,5,6,1,3,3,0,1,1,3,2,1,3.0,3.0,0.0,8.0,5.0,7.0,5.0,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,11,5,-6,0,6,-6,2,2,-7,3,-10,0.0,3.0,-3.0,2.0,5.5,5.5,4.0,0.0,3.0,1
sr:competition:255,czech,Svenska Superligan 23/24,5,10,5,3,0,3,1,1,4,-3,7,3.0,0.0,3.0,6.0,2.0,5.0,8.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,3,9,6,6,3,3,2,2,8,-5,13,3.0,1.5,1.5,10.5,6.5,4.5,7.0,0.0,3.0,1
sr:competition:306,finland,F-Liiga 23/24,10,12,2,0,0,0,2,2,-8,-13,5,0.0,0.0,0.0,4.0,8.0,4.0,10.5,0.0,0.0,0
sr:competition:255,czech,Svenska Superligan 23/24,9,4,-5,0,3,-3,1,1,-1,7,-8,0.0,3.0,-3.0,5.0,6.0,12.0,5.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,11,12,1,0,0,0,2,2,-6,-10,4,0.0,0.0,0.0,6.5,9.5,3.0,8.0,0.0,0.0,0
sr:competition:255,czech,Svenska Superligan 23/24,14,5,-9,0,3,-3,1,1,-7,5,-12,0.0,3.0,-3.0,5.0,12.0,8.0,3.0,0.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,7,3,-4,3,6,-3,2,2,2,14,-12,1.5,3.0,-1.5,8.5,7.5,9.0,2.0,0.0,3.0,0
sr:competition:829,czech,Extraliga 23/24,4,13,9,6,0,6,2,2,6,-11,17,3.0,0.0,3.0,9.0,6.0,3.5,9.0,3.0,0.0,0
sr:competition:306,finland,F-Liiga 23/24,10,3,-7,0,6,-6,2,2,-5,8,-13,0.0,3.0,-3.0,4.0,6.5,7.5,3.5,0.0,3.0,1
sr:competition:255,czech,Svenska Superligan 23/24,13,8,-5,0,3,-3,1,1,-5,1,-6,0.0,3.0,-3.0,3.0,8.0,6.0,5.0,0.0,0.0,0
sr:competition:306,finland,F-Liiga 23/24,11,2,-9,0,6,-6,2,3,-8,10,-18,0.0,2.0,-2.0,3.0,7.0,9.333333333333334,6.0,0.0,3.0,0
sr:competition:829,czech,Extraliga 23/24,14,12,-2,0,3,-3,3,3,-18,-10,-8,0.0,1.0,-1.0,5.0,11.0,4.666666666666667,8.0,0.0,1.5,1
sr:competition:829,czech,Extraliga 23/24,8,6,-2,3,6,-3,2,3,0,0,0,1.5,2.0,-0.5,4.0,4.0,7.333333333333333,7.333333333333333,0.0,0.0,0
sr:competition:829,czech,Extraliga 23/24,4,14,10,6,0,6,2,3,24,-7,31,3.0,0.0,3.0,15.0,3.0,6.333333333333333,8.666666666666666,3.0,0.0,1
sr:competition:829,czech,Extraliga 23/24,10,11,1,3,3,0,3,3,-9,-10,1,1.0,1.0,0.0,4.333333333333333,7.333333333333333,4.666666666666667,8.0,0.0,1.5,1
sr:competition:829,czech,Extraliga 23/24,2,3,1,9,9,0,3,3,16,13,3,3.0,3.0,0.0,8.0,2.6666666666666665,10.333333333333334,6.0,3.0,3.0,0
sr:competition:829,czech,Extraliga 23/24,6,8,2,6,3,3,3,3,2,0,2,2.0,1.0,1.0,5.0,4.333333333333333,7.0,7.0,3.0,3.0,1
sr:competition:829,czech,Extraliga 23/24,6,10,4,6,3,3,3,3,5,-6,11,2.0,1.0,1.0,8.0,6.333333333333333,3.0,5.0,1.5,0.0,0
sr:competition:306,finland,F-Liiga 23/24,12,5,-7,0,6,-6,3,3,-11,-3,-8,0.0,2.0,-2.0,3.6666666666666665,7.333333333333333,5.0,6.0,0.0,3.0,0
sr:competition:306,finland,F-Liiga 23/24,5,7,2,6,3,3,2,3,7,0,7,3.0,1.0,2.0,7.0,3.5,6.333333333333333,6.333333333333333,3.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,7,9,2,3,3,0,3,3,0,-4,4,1.0,1.0,0.0,5.666666666666667,5.666666666666667,4.333333333333333,5.666666666666667,1.5,0.0,1
sr:competition:306,finland,F-Liiga 23/24,2,5,3,9,6,3,3,3,11,7,4,3.0,2.0,1.0,9.333333333333334,5.666666666666667,6.333333333333333,4.0,3.0,1.5,0
sr:competition:255,czech,Svenska Superligan 23/24,10,12,2,3,0,3,2,2,-6,-5,-1,1.5,0.0,1.5,6.5,9.5,6.0,8.5,3.0,0.0,0
sr:competition:255,czech,Svenska Superligan 23/24,12,8,-4,0,3,-3,2,2,-4,1,-5,0.0,1.5,-1.5,4.5,6.5,6.5,6.0,0.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,12,3,-9,0,9,-9,4,4,-17,8,-25,0.0,2.25,-2.25,4.0,8.25,6.25,4.25,0.0,2.0,0
sr:competition:255,czech,Svenska Superligan 23/24,9,5,-4,3,3,0,2,2,0,5,-5,1.5,1.5,0.0,8.0,8.0,9.0,6.5,3.0,0.0,1
sr:competition:306,finland,F-Liiga 23/24,9,10,1,3,3,0,4,3,-5,-10,5,0.75,1.0,-0.25,4.25,5.5,4.666666666666667,8.0,1.5,1.5,1
