source,league,season,team_name,player_name,gp,goals,assists,points,shots,pim,plus_minus
ssl,sweden,2024/2025,Mullsjö AIS,Martin Bärbäck,16,1,1,2,,4,
ssl,sweden,2024/2025,Nykvarns IBF,Dennis Andersson,24,1,1,2,,6,
ssl,sweden,2024/2025,Linköping IBK,Jesper Alm,26,1,1,2,,8,
ssl,sweden,2024/2025,Pixbo IBK,Gustav Eurén,16,0,2,2,,0,
ssl,sweden,2024/2025,Mullsjö AIS,Fabian Sammemyr,24,0,2,2,,0,
ssl,sweden,2024/2025,Nykvarns IBF,Lucas Orrmo,26,0,2,2,,0,
ssl,sweden,2024/2025,Team Thorengruppen SK,Herman Karlsson,10,0,2,2,,0,
ssl,sweden,2024/2025,Linköping IBK,Leo Torell Hagström,24,0,2,2,,0,
ssl,sweden,2024/2025,Team Thorengruppen SK,Lukas Genhart,26,0,2,2,,0,
ssl,sweden,2024/2025,AIK IBF,Melvin Åberg,11,0,2,2,,0,
ssl,sweden,2024/2025,Växjö Vipers,Linus Pettersson,19,0,2,2,,4,
ssl,sweden,2024/2025,IBF Falun,Karl Bending,25,0,2,2,,12,
ssl,sweden,2024/2025,FC Helsingborg,Theo Britzén,3,1,0,1,,0,
ssl,sweden,2024/2025,Mullsjö AIS,Tim Lindberg,9,1,0,1,,0,
ssl,sweden,2024/2025,Jönköpings IK,Walter Dahlström,25,1,0,1,,0,
ssl,sweden,2024/2025,AIK IBF,Alexander Måhlberg,20,1,0,1,,0,
ssl,sweden,2024/2025,AIK IBF,Isaac Lindberg,20,1,0,1,,2,
ssl,sweden,2024/2025,FBC Kalmarsund,William Alvarmo,26,1,0,1,,2,
ssl,sweden,2024/2025,Team Thorengruppen SK,Elias Niclasson,23,1,0,1,,4,
ssl,sweden,2024/2025,Storvreta IBK,Oskar Enquist,26,0,1,1,,0,
ssl,sweden,2024/2025,Jönköpings IK,Eddie Swärdh,15,0,1,1,,0,
ssl,sweden,2024/2025,Warberg IC,Johan Dahlqvist,25,0,1,1,,0,
ssl,sweden,2024/2025,FBC Kalmarsund,Axel Adebrink,25,0,1,1,,0,
ssl,sweden,2024/2025,Jönköpings IK,Emil Ödman,26,0,1,1,,0,
ssl,sweden,2024/2025,Linköping IBK,Hampus Andersson,16,0,1,1,,0,
ssl,sweden,2024/2025,Växjö Vipers,Santtu Strandberg,24,0,1,1,,0,
ssl,sweden,2024/2025,AIK IBF,Filip Wiklund,14,0,1,1,,2,
ssl,sweden,2024/2025,AIK IBF,Wille Jäderlund,13,0,1,1,,2,
