competition_id,season_id,season_name,team_id,team_name,official_rank,official_points,official_played,official_wins,official_losses,source_phase_text
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:118114,FBC Kalmarsund,5,44,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:24122,Mullsjo AIS,6,42,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:41254,Linkoping IBK,7,42,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:610450,Nykvarns IBF Ungdom,8,29,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:4143,Jonkopings IK,9,28,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:118116,Thorengruppen SK,10,26,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:4146,Warberg IC,11,25,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:4142,AIK Innebandy,12,21,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:4135,IBK Dalen,13,20,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:121363,Svenska Superligan 24/25,sr:competitor:5744,FC Helsingborg,14,18,26,,,svenska superligan 24/25 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:4144,Storvreta IBK,1,68,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:5745,IBF Falun,2,53,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:41254,Linkoping IBK,3,50,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:34558,Vaxjo IBK,4,48,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:118114,FBC Kalmarsund,5,44,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:24122,Mullsjo AIS,6,42,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:4138,Pixbo Wallenstam,7,40,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:610450,Nykvarns IBF Ungdom,8,37,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:4143,Jonkopings IK,9,36,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:4146,Warberg IC,10,32,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:223262,Visby IBK,11,31,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:4142,AIK Innebandy,12,29,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:223254,Strangnas IBK,13,24,26,,,svenska superligan 25/26 regular season league
sr:competition:255,sr:season:132464,Svenska Superligan 25/26,sr:competitor:940345,Hovslatts IK,14,12,26,,,svenska superligan 25/26 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:4159,Oilers Espoo,1,82,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:4161,SC Classic Tampere,2,82,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:25241,Nokian KRP,3,69,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:65930,Westend Indians,4,60,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:7984,TPS Turku,5,59,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:6584,SPV,6,57,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:4158,Happee Jyvaskyla,7,49,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:282983,LASB Lahti,8,38,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:4165,OLS Oulu,9,37,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:322573,Nurmon Jymy,10,32,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:224502,EraViikingit,11,19,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:108077,F-Liiga 23/24,sr:competitor:940309,FBC Turku,12,8,33,,,f-liiga 23/24 regular season league
sr:competition:306,sr:season:121369,F-Liiga 24/25,sr:competitor:4161,SC Classic Tampere,1,79,33,,,f-liiga 24/25 regular season league
