competition_id,competition_name,season_id,season_name,match_id,start_time,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918343,2024-03-06T18:30:00+00:00,sr:competitor:7990,SV Wiler-Ersigen,sr:competitor:7991,Unihockey Tigers Langnau,5,2
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48285939,2024-03-07T17:00:00+00:00,sr:competitor:173258,Sokol Kral Vinohrady,sr:competitor:44607,FBC Liberec,5,4
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623655,2024-03-07T17:30:00+00:00,sr:competitor:118116,Thorengruppen SK,sr:competitor:34558,Vaxjo IBK,5,11
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918425,2024-03-07T19:00:00+00:00,sr:competitor:40235,Zug United,sr:competitor:7992,UHC Alligator Malans,3,5
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350505,2024-03-08T18:00:00+00:00,sr:competitor:4176,Greaker IBK,sr:competitor:4172,Sarpsborg SK,7,3
sr:competition:829,Extraliga,sr:season:108081,Extraliga 23/24,sr:sport_event:48285937,2024-03-08T18:30:00+00:00,sr:competitor:331853,FBC Ceska Lipa,sr:competitor:44608,FBC Ostrava,5,4
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:42344147,2024-03-09T12:00:00+00:00,sr:competitor:7984,TPS Turku,sr:competitor:25241,Nokian KRP,6,3
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623657,2024-03-09T13:00:00+00:00,sr:competitor:5744,FC Helsingborg,sr:competitor:375152,Hagunda IF,5,4
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350511,2024-03-09T14:00:00+00:00,sr:competitor:4174,IBK Slevik,sr:competitor:7996,Harstad IBK,9,6
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350491,2024-03-09T14:00:00+00:00,sr:competitor:610438,Vaalerenga IF,sr:competitor:4168,Tunet IBK,1,7
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:42344145,2024-03-09T15:00:00+00:00,sr:competitor:4159,Oilers Espoo,sr:competitor:4158,Happee Jyvaskyla,8,5
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:42344141,2024-03-09T15:00:00+00:00,sr:competitor:65930,Westend Indians,sr:competitor:4165,OLS Oulu,6,4
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:42344139,2024-03-09T15:00:00+00:00,sr:competitor:224502,EraViikingit,sr:competitor:940309,FBC Turku,4,2
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:42344143,2024-03-09T15:00:00+00:00,sr:competitor:322573,Nurmon Jymy,sr:competitor:282983,LASB Lahti,4,5
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623659,2024-03-09T15:00:00+00:00,sr:competitor:4150,Karlstad IBF,sr:competitor:5745,IBF Falun,5,6
sr:competition:306,F-Liiga,sr:season:108077,F-Liiga 23/24,sr:sport_event:42344137,2024-03-09T15:00:00+00:00,sr:competitor:4161,SC Classic Tampere,sr:competitor:6584,SPV,6,7
sr:competition:255,Svenska Superligan,sr:season:108389,Svenska Superligan 23/24,sr:sport_event:47623661,2024-03-09T16:00:00+00:00,sr:competitor:4144,Storvreta IBK,sr:competitor:41254,Linkoping IBK,2,3
sr:competition:318,Eliteserien,sr:season:108067,Eliteserien 23/24,sr:sport_event:48350503,2024-03-09T16:00:00+00:00,sr:competitor:4170,Sveiva IBK,sr:competitor:4169,Nor 92 IBK,9,8
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918329,2024-03-09T16:00:00+00:00,sr:competitor:146822,Floorball Thurgau,sr:competitor:7989,HC Rychenberg Winterthur,11,6
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918341,2024-03-09T16:00:00+00:00,sr:competitor:7991,Unihockey Tigers Langnau,sr:competitor:7990,SV Wiler-Ersigen,8,6
sr:competition:313,Unihockey Prime League,sr:season:109891,Unihockey Prime League 23/24,sr:sport_event:47918407,2024-03-09T16:00:00+00:00,sr:competitor:7992,UHC Alligator Malans,sr:competitor:40235,Zug United,5,6
